iter	Passed	Remaining
0	141	141528
1	142	71154
2	143	47822
3	145	36127
4	146	29136
5	147	24462
6	149	21141
7	150	18683
8	151	16687
9	152	15088
10	153	13769
11	153	12657
12	154	11715
13	154	10909
14	155	10208
15	156	9610
16	156	9071
17	157	8593
18	158	8163
19	158	7774
20	160	7467
21	161	7180
22	162	6889
23	162	6617
24	163	6374
25	164	6146
26	164	5933
27	165	5735
28	165	5552
29	166	5381
30	167	5220
31	167	5069
32	168	4928
33	168	4794
34	169	4669
35	169	4550
36	170	4438
37	171	4331
38	171	4230
39	172	4135
40	172	4044
41	173	3962
42	174	3883
43	175	3804
44	175	3734
45	176	3662
46	177	3593
47	177	3526
48	178	3462
49	178	3400
50	179	3341
51	180	3284
52	180	3228
53	181	3175
54	181	3124
55	182	3074
56	182	3027
57	183	2980
58	184	2936
59	184	2893
60	185	2852
61	186	2816
62	186	2778
63	188	2751
64	189	2725
65	190	2690
66	190	2655
67	190	2617
68	191	2584
69	192	2556
70	192	2524
71	193	2494
72	194	2464
73	194	2435
74	195	2407
75	195	2380
76	196	2354
77	196	2328
78	197	2302
79	198	2278
80	198	2254
81	199	2230
82	199	2207
83	200	2185
84	200	2161
85	201	2139
86	201	2116
87	202	2096
88	202	2076
89	203	2056
90	204	2041
91	205	2023
92	205	2005
93	206	1988
94	206	1970
95	207	1952
96	207	1935
97	208	1918
98	208	1901
99	209	1885
100	210	1869
101	210	1851
102	210	1836
103	211	1821
104	211	1806
105	212	1792
106	213	1778
107	213	1764
108	214	1750
109	214	1737
110	215	1724
111	215	1711
112	216	1698
113	216	1685
114	217	1673
115	217	1661
116	218	1650
117	219	1639
118	219	1627
119	220	1616
120	221	1606
121	221	1595
122	222	1582
123	222	1572
124	223	1562
125	223	1552
126	224	1542
127	224	1531
128	225	1521
129	225	1512
130	226	1502
131	227	1493
132	227	1483
133	228	1474
134	228	1465
135	229	1456
136	229	1447
137	230	1438
138	230	1429
139	231	1421
140	232	1414
141	232	1406
142	233	1398
143	233	1390
144	234	1382
145	235	1374
146	235	1367
147	236	1359
148	236	1351
149	237	1344
150	237	1336
151	238	1329
152	238	1322
153	239	1315
154	240	1308
155	240	1301
156	241	1294
157	241	1287
158	242	1281
159	242	1274
160	243	1267
161	243	1261
162	244	1254
163	244	1248
164	245	1242
165	246	1237
166	246	1231
167	247	1225
168	247	1219
169	248	1213
170	249	1208
171	249	1202
172	250	1196
173	250	1191
174	251	1185
175	252	1180
176	252	1175
177	253	1169
178	253	1164
179	254	1158
180	254	1152
181	255	1147
182	255	1141
183	256	1136
184	256	1131
185	257	1126
186	257	1121
187	258	1116
188	259	1111
189	259	1107
190	260	1102
191	260	1097
192	261	1093
193	261	1088
194	262	1083
195	263	1079
196	263	1074
197	264	1069
198	264	1065
199	265	1060
200	265	1056
201	266	1052
202	266	1048
203	267	1043
204	268	1039
205	268	1035
206	269	1030
207	269	1026
208	270	1022
209	270	1018
210	271	1014
211	271	1010
212	272	1006
213	273	1003
214	273	999
215	274	995
216	274	991
217	275	987
218	275	984
219	276	980
220	277	976
221	277	972
222	278	969
223	278	965
224	279	961
225	279	958
226	280	954
227	280	951
228	281	947
229	282	944
230	282	940
231	283	937
232	283	933
233	284	930
234	284	927
235	285	923
236	285	920
237	286	916
238	287	913
239	287	910
240	288	907
241	288	904
242	289	901
243	289	898
244	290	894
245	290	891
246	291	888
247	292	885
248	292	882
249	293	879
250	293	876
251	294	873
252	294	870
253	295	867
254	295	864
255	296	861
256	297	858
257	297	855
258	298	852
259	298	849
260	299	847
261	299	844
262	300	841
263	301	839
264	301	836
265	302	833
266	302	831
267	303	828
268	303	825
269	304	822
270	304	820
271	305	817
272	305	814
273	306	812
274	307	809
275	307	807
276	308	804
277	308	801
278	309	799
279	309	796
280	310	794
281	311	791
282	311	789
283	312	787
284	312	784
285	313	782
286	313	779
287	314	777
288	315	776
289	316	775
290	317	773
291	318	772
292	319	770
293	320	768
294	320	766
295	321	764
296	321	762
297	322	759
298	322	757
299	323	754
300	324	752
301	324	750
302	325	747
303	325	745
304	326	743
305	326	740
306	327	738
307	327	736
308	328	734
309	329	732
310	330	731
311	330	729
312	331	727
313	331	725
314	332	723
315	333	721
316	334	719
317	334	718
318	336	717
319	336	715
320	337	714
321	338	712
322	339	711
323	340	709
324	340	708
325	341	706
326	342	704
327	343	703
328	343	701
329	344	699
330	345	697
331	345	695
332	346	694
333	347	692
334	347	690
335	348	688
336	349	687
337	350	685
338	350	684
339	351	682
340	352	680
341	352	679
342	353	677
343	354	675
344	355	674
345	355	672
346	356	671
347	357	669
348	358	668
349	358	666
350	359	664
351	360	663
352	360	661
353	361	659
354	362	658
355	363	657
356	364	656
357	365	655
358	366	653
359	367	652
360	368	651
361	368	649
362	369	648
363	370	648
364	372	647
365	373	647
366	374	646
367	375	645
368	376	644
369	377	643
370	378	642
371	379	640
372	380	639
373	381	638
374	381	636
375	382	635
376	383	633
377	384	632
378	384	630
379	385	629
380	386	628
381	387	627
382	388	625
383	389	624
384	390	623
385	392	625
386	393	623
387	394	622
388	395	621
389	396	619
390	397	618
391	398	617
392	399	616
393	400	615
394	401	615
395	402	614
396	403	613
397	406	615
398	409	616
399	410	615
400	410	613
401	411	612
402	412	611
403	413	610
404	414	609
405	415	607
406	416	606
407	416	604
408	417	603
409	418	601
410	418	599
411	419	598
412	420	597
413	420	595
414	421	594
415	422	593
416	423	591
417	423	590
418	424	588
419	425	587
420	425	585
421	427	585
422	428	583
423	429	583
424	430	582
425	431	580
426	431	579
427	432	578
428	433	576
429	433	574
430	434	573
431	434	571
432	435	570
433	436	569
434	437	567
435	437	566
436	438	564
437	439	563
438	439	562
439	440	561
440	441	559
441	442	558
442	442	556
443	443	555
444	443	553
445	444	552
446	445	551
447	446	550
448	448	549
449	449	549
450	450	547
451	451	546
452	451	545
453	452	544
454	453	542
455	453	541
456	454	540
457	455	538
458	456	537
459	456	536
460	457	534
461	458	533
462	458	532
463	459	531
464	460	529
465	461	528
466	461	527
467	462	525
468	463	524
469	464	523
470	464	522
471	465	521
472	466	519
473	467	518
474	468	517
475	469	516
476	469	515
477	470	513
478	470	512
479	471	510
480	472	509
481	472	507
482	473	506
483	473	505
484	474	503
485	474	502
486	475	500
487	475	499
488	476	497
489	476	496
490	477	494
491	478	493
492	478	492
493	479	491
494	480	489
495	480	488
496	481	487
497	481	485
498	482	484
499	483	483
500	483	481
501	484	480
502	484	478
503	485	477
504	485	476
505	486	474
506	486	473
507	487	472
508	487	470
509	488	469
510	489	467
511	489	466
512	490	465
513	490	464
514	491	462
515	491	461
516	493	460
517	494	460
518	495	458
519	495	457
520	496	456
521	496	455
522	497	453
523	498	452
524	498	451
525	499	449
526	499	448
527	500	447
528	500	445
529	501	444
530	501	443
531	502	441
532	502	440
533	503	439
534	504	438
535	504	436
536	505	435
537	505	434
538	506	432
539	506	431
540	507	430
541	508	429
542	509	428
543	509	427
544	510	426
545	511	424
546	511	423
547	512	422
548	512	421
549	513	419
550	513	418
551	514	417
552	514	416
553	515	414
554	515	413
555	516	412
556	517	411
557	517	409
558	518	408
559	518	407
560	519	406
561	519	405
562	520	403
563	520	402
564	521	401
565	522	400
566	523	399
567	524	398
568	525	397
569	525	396
570	526	395
571	527	394
572	528	393
573	528	392
574	529	391
575	529	389
576	530	388
577	530	387
578	531	386
579	531	385
580	532	383
581	532	382
582	533	381
583	533	380
584	534	379
585	535	378
586	535	376
587	536	376
588	537	375
589	538	374
590	539	373
591	539	371
592	540	370
593	540	369
594	541	368
595	542	367
596	542	366
597	543	365
598	543	363
599	544	362
600	544	361
601	545	360
602	545	359
603	546	358
604	546	357
605	547	355
606	547	354
607	548	353
608	549	352
609	549	351
610	550	350
611	550	349
612	551	348
613	552	347
614	553	346
615	554	345
616	554	344
617	555	343
618	555	342
619	556	341
620	557	339
621	557	338
622	558	337
623	558	336
624	559	335
625	559	334
626	560	333
627	560	332
628	561	331
629	561	329
630	562	328
631	562	327
632	563	326
633	564	325
634	564	324
635	565	323
636	566	322
637	567	321
638	568	320
639	568	319
640	569	318
641	569	317
642	570	316
643	570	315
644	571	314
645	572	313
646	572	312
647	573	311
648	573	310
649	574	309
650	574	308
651	575	307
652	575	306
653	576	304
654	577	303
655	577	302
656	578	301
657	578	300
658	579	299
659	579	298
660	580	297
661	584	298
662	585	297
663	586	296
664	587	296
665	588	295
666	589	294
667	590	293
668	591	292
669	592	291
670	593	290
671	594	290
672	595	289
673	596	288
674	597	287
675	597	286
676	598	285
677	599	284
678	600	283
679	601	282
680	601	281
681	602	280
682	603	280
683	604	279
684	604	278
685	605	277
686	606	276
687	607	275
688	608	274
689	609	273
690	610	272
691	611	271
692	611	271
693	612	270
694	613	269
695	613	268
696	614	267
697	615	266
698	615	265
699	616	264
700	617	263
701	617	262
702	618	261
703	619	260
704	620	259
705	621	258
706	622	257
707	623	257
708	624	256
709	625	255
710	625	254
711	626	253
712	627	252
713	627	251
714	628	250
715	629	249
716	629	248
717	630	247
718	630	246
719	631	245
720	632	244
721	632	243
722	633	242
723	633	241
724	634	240
725	635	239
726	635	238
727	636	237
728	637	237
729	638	236
730	639	235
731	640	234
732	641	233
733	641	232
734	642	231
735	643	230
736	643	229
737	644	228
738	645	227
739	646	226
740	647	226
741	647	225
742	648	224
743	649	223
744	649	222
745	650	221
746	650	220
747	651	219
748	652	218
749	653	217
750	654	216
751	654	215
752	655	214
753	655	213
754	656	213
755	656	212
756	657	211
757	658	210
758	658	209
759	659	208
760	659	207
761	660	206
762	660	205
763	661	204
764	661	203
765	662	202
766	662	201
767	663	200
768	664	199
769	664	198
770	665	197
771	665	196
772	666	195
773	666	194
774	667	193
775	668	192
776	669	192
777	669	191
778	670	190
779	670	189
780	671	188
781	671	187
782	672	186
783	673	185
784	673	184
785	674	183
786	674	182
787	675	181
788	675	180
789	676	179
790	676	178
